,SCH_NAME,de_total_enrollment,LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,COMBOKEY,JJ,SCH_GRADE_PS,SCH_GRADE_KG,SCH_GRADE_G01,SCH_GRADE_G02,SCH_GRADE_G03,SCH_GRADE_G04,SCH_GRADE_G05,SCH_GRADE_G06,SCH_GRADE_G07,SCH_GRADE_G08,SCH_GRADE_G09,SCH_GRADE_G10,SCH_GRADE_G11,SCH_GRADE_G12,SCH_GRADE_UG,SCH_UGDETAIL_HS,SCH_STATUS_SPED,SCH_STATUS_MAGNET,SCH_STATUS_CHARTER,SCH_STATUS_ALT,SCH_ENR_HI_M,SCH_ENR_HI_F,SCH_ENR_AM_M,SCH_ENR_AM_F,SCH_ENR_AS_M,SCH_ENR_AS_F,SCH_ENR_HP_M,SCH_ENR_HP_F,SCH_ENR_BL_M,SCH_ENR_BL_F,SCH_ENR_WH_M,SCH_ENR_WH_F,SCH_ENR_TR_M,SCH_ENR_TR_F,TOT_ENR_M,TOT_ENR_F,SCH_ENR_LEP_M,SCH_ENR_LEP_F,SCH_ENR_IDEA_M,SCH_ENR_IDEA_F,SCH_DUAL_IND,SCH_DUALENR_HI_M,SCH_DUALENR_HI_F,SCH_DUALENR_AM_M,SCH_DUALENR_AM_F,SCH_DUALENR_AS_M,SCH_DUALENR_AS_F,SCH_DUALENR_HP_M,SCH_DUALENR_HP_F,SCH_DUALENR_BL_M,SCH_DUALENR_BL_F,SCH_DUALENR_WH_M,SCH_DUALENR_WH_F,SCH_DUALENR_TR_M,SCH_DUALENR_TR_F,TOT_DUALENR_M,TOT_DUALENR_F,SCH_DUALENR_LEP_M,SCH_DUALENR_LEP_F,SCH_DUALENR_IDEA_M,SCH_DUALENR_IDEA_F,SCH_APENR_IND,SCH_APENR_HI_M,SCH_APENR_HI_F,SCH_APENR_AM_M,SCH_APENR_AM_F,SCH_APENR_AS_M,SCH_APENR_AS_F,SCH_APENR_HP_M,SCH_APENR_HP_F,SCH_APENR_BL_M,SCH_APENR_BL_F,SCH_APENR_WH_M,SCH_APENR_WH_F,SCH_APENR_TR_M,SCH_APENR_TR_F,TOT_APENR_M,TOT_APENR_F,SCH_APENR_LEP_M,SCH_APENR_LEP_F,SCH_APENR_IDEA_M,SCH_APENR_IDEA_F,SCH_IBENR_IND,SCH_IBENR_HI_M,SCH_IBENR_HI_F,SCH_IBENR_AM_M,SCH_IBENR_AM_F,SCH_IBENR_AS_M,SCH_IBENR_AS_F,SCH_IBENR_HP_M,SCH_IBENR_HP_F,SCH_IBENR_BL_M,SCH_IBENR_BL_F,SCH_IBENR_WH_M,SCH_IBENR_WH_F,SCH_IBENR_TR_M,SCH_IBENR_TR_F,TOT_IBENR_M,TOT_IBENR_F,SCH_IBENR_LEP_M,SCH_IBENR_LEP_F,SCH_IBENR_IDEA_M,SCH_IBENR_IDEA_F,combokey,TITLEI,LEAID_nces,LEA_NAME_nces,SCHID_nces,SCH_NAME_nces,SCH_TYPE_TEXT,SCH_TYPE,LEVEL,VIRTUAL,GSLO,GSHI,NMCNTY15,LOCALE15,LAT1516,LON1516
16,RIVERCREST HIGH SCHOOL,233,AR,ARKANSAS,500045,RIVERCREST SCHOOL DISTRICT #57,1204,='050004501204',Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,17,8,2,2,2,0,0,0,89,83,209,179,2,5,321,277,5,5,34,16,Yes,0,0,0,0,0,0,0,0,20,26,95,92,0,0,115,118,5,0,17,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='050004501204',Yes,500045,RIVERCREST SCHOOL DISTRICT #57,1204,RIVERCREST HIGH SCHOOL,Regular School,1,3,Missing,7,12,Mississippi County,42,35.612765,-90.107288
110,Lawrence Gardner High School,67,KS,KANSAS,2000008,Lawrence Gardner High School,1745,='200000801745',Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,11,2,0,0,0,0,0,0,41,5,41,11,0,0,93,18,0,0,28,4,Yes,5,2,0,0,0,0,0,0,26,0,29,5,0,0,60,7,0,0,20,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='200000801745',Missing,2000008,Lawrence Gardner High School,1745,Lawrence Gardner High School,Regular School,1,3,No,7,12,Shawnee County,12,39.097073,-95.684096
0,John F. Kennedy High,540,CA,CALIFORNIA,609850,Corona-Norco Unified,11712,='060985011712',No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,119,164,2,2,29,41,11,17,8,26,95,125,0,2,264,377,5,5,40,31,Yes,101,149,2,0,29,41,11,11,8,23,68,95,0,2,219,321,2,5,8,8,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='060985011712',No,609850,Corona-Norco Unified,11712,John F. Kennedy High,Alternative Education School,4,3,No,10,12,Riverside County,21,33.917289,-117.564442
4,Tesla STEM High School,395,WA,WASHINGTON,5304230,Lake Washington School District,3432,='530423003432',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,Yes,No,No,20,11,0,2,137,92,0,0,2,2,179,92,17,11,355,210,0,0,25,0,Yes,17,8,0,0,101,56,0,0,2,2,125,62,14,8,259,136,0,0,17,2,Yes,11,8,0,2,95,68,0,0,0,2,131,62,14,8,251,150,0,0,14,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='530423003432',Yes,5304230,Lake Washington School District,3432,Tesla STEM High School,Alternative Education School,4,3,Missing,9,12,King County,21,47.64868,-122.037761
8,Sherman Oaks Center for Enriched Studies,321,CA,CALIFORNIA,622710,Los Angeles Unified,9151,='062271009151',No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,Yes,No,No,359,377,2,5,200,182,8,5,38,38,413,413,23,26,1043,1046,32,29,55,31,Yes,47,59,2,0,23,41,2,2,5,5,62,71,0,2,141,180,0,0,0,8,Yes,62,62,2,2,50,50,5,2,8,5,83,80,0,2,210,203,2,0,2,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='062271009151',Yes,622710,Los Angeles Unified,9151,Sherman Oaks Center for Enriched Studies,Alternative Education School,4,4,No,4,12,Los Angeles County,11,34.184942,-118.538329
612,Wyoming Girls School,5,WY,WYOMING,5680251,Wyoming Department of Family Services,534,='568025100534',Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,0,8,0,11,0,0,0,0,0,2,0,53,0,8,0,82,0,0,0,19,Yes,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='568025100534',Not Applicable,5680251,Wyoming Department of Family Services,534,Wyoming Girls School,Regular School,1,3,No,7,12,Sheridan County,33,44.760521,-106.96154
10,MERCEDES EARLY COLLEGE ACADEMY,293,TX,TEXAS,4830250,MERCEDES ISD,12441,='483025012441',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,149,173,0,0,0,0,0,0,0,2,2,2,0,2,151,179,2,5,0,0,Yes,143,146,0,0,0,0,0,0,0,0,2,2,0,0,145,148,2,2,0,0,Yes,23,32,0,0,0,0,0,0,0,0,0,2,0,0,23,34,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='483025012441',Yes,4830250,MERCEDES ISD,12441,MERCEDES EARLY COLLEGE ACADEMY,Alternative Education School,4,3,Missing,9,12,Hidalgo County,21,26.143598,-97.912081
11,COLLEGIATE H S,289,TX,TEXAS,4815270,CORPUS CHRISTI ISD,11318,='481527011318',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,Yes,Yes,No,131,206,0,2,8,5,0,0,2,8,11,23,0,0,152,244,2,2,0,0,Yes,92,152,0,0,5,5,0,0,2,5,8,20,0,0,107,182,0,0,0,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='481527011318',Yes,4815270,CORPUS CHRISTI ISD,11318,COLLEGIATE H S,Alternative Education School,4,3,Missing,9,12,Nueces County,11,27.76407,-97.407211
12,Edmonds Career Access Program,276,WA,WASHINGTON,5302400,Edmonds School District,3490,='530240003490',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,29,32,2,0,5,5,2,0,8,2,98,74,11,11,155,124,2,2,0,0,Yes,29,32,2,0,5,5,2,0,8,2,95,74,11,11,152,124,2,2,2,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='530240003490',Yes,5302400,Edmonds School District,3490,Edmonds Career Access Program,Alternative Education School,4,3,Missing,9,12,Snohomish County,21,47.81683,-122.327691
13,El Camino High,272,CA,CALIFORNIA,640980,Ventura Unified,1880,='064098001880',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,29,44,2,2,5,2,0,2,2,2,77,110,8,5,123,167,0,2,4,0,Yes,26,41,2,2,5,2,0,2,2,2,74,101,8,5,117,155,0,2,5,2,Yes,2,2,0,0,0,2,0,0,0,0,2,11,2,2,6,17,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='064098001880',No,640980,Ventura Unified,1880,El Camino High,Alternative Education School,4,3,No,9,12,Ventura County,12,34.277016,-119.226704
19,ARLINGTON COLLEGIATE H S,223,TX,TEXAS,4808700,ARLINGTON ISD,13043,='480870013043',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,-9,No,No,No,No,59,101,0,0,11,14,0,2,5,20,5,5,2,2,82,144,8,8,0,0,Yes,59,98,0,0,11,14,0,2,5,20,5,5,2,2,82,141,8,8,0,0,Yes,29,53,0,0,5,8,0,2,5,8,5,2,0,2,44,75,2,8,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='480870013043',Yes,4808700,ARLINGTON ISD,13043,ARLINGTON COLLEGIATE H S,Alternative Education School,4,4,Missing,9,10,Tarrant County,11,32.70982,-97.124471
942,FOOTHILL HIGH SCHOOL,2,NM,NEW MEXICO,3500011,JUVENILE JUSTICE,985,='350001100985',Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,62,14,2,2,0,0,0,0,5,0,14,5,0,0,83,21,0,2,34,7,Yes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='350001100985',No,3500011,JUVENILE JUSTICE,985,FOOTHILL HIGH SCHOOL,Regular School,1,4,No,6,12,Bernalillo County,11,35.08636,-106.640981
20,Middle College High,216,CA,CALIFORNIA,634170,San Bernardino City Unified,10366,='063417010366',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,89,131,0,0,5,8,0,0,8,14,11,14,2,2,115,169,0,0,0,0,Yes,62,101,0,0,5,5,0,0,5,14,11,11,2,0,85,131,0,0,2,0,Yes,8,8,0,0,2,0,0,0,0,2,2,2,0,0,12,12,0,0,2,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='063417010366',Yes,634170,San Bernardino City Unified,10366,Middle College High,Alternative Education School,4,3,No,9,12,San Bernardino County,12,34.09039,-117.312331
1,Lowell Senior High School,520,IN,INDIANA,1811460,Tri-Creek School Corporation,1852,='181146001852',No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,53,62,0,2,0,2,0,0,5,8,557,485,8,14,623,573,23,17,76,43,Yes,29,17,0,0,0,0,0,0,2,2,284,176,5,5,320,200,0,0,0,0,Yes,8,8,0,2,0,2,0,0,0,2,89,128,2,5,99,147,2,5,0,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='181146001852',No,1811460,Tri-Creek School Corporation,1852,Lowell Senior High School,Regular School,1,3,No,8,12,Lake County,31,41.291374,-87.393155
2,Ben Davis Ninth Grade Center,496,IN,INDIANA,1812810,M S D Wayne Township,2122,='181281002122',No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,-9,No,No,No,No,167,155,2,2,2,5,0,0,212,209,233,221,32,35,648,627,86,77,139,64,Yes,71,53,2,0,2,2,0,0,86,98,71,86,14,11,246,250,65,59,50,14,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='181281002122',Yes,1812810,M S D Wayne Township,2122,Ben Davis Ninth Grade Center,Regular School,1,4,No,9,9,Marion County,11,39.783039,-86.291674
3,Oak Creek High,443,WI,WISCONSIN,5510830,Oak Creek-Franklin Joint School District,1411,='551083001411',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,Yes,No,No,No,143,152,8,5,62,68,2,2,62,47,782,716,14,23,1073,1013,38,29,106,46,Yes,23,35,2,2,17,11,0,2,14,11,161,158,2,5,219,224,5,5,14,8,Yes,23,26,5,0,14,14,0,0,8,11,137,191,5,5,192,247,2,0,2,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='551083001411',Yes,5510830,Oak Creek-Franklin Joint School District,1411,Oak Creek High,Regular School,1,3,No,9,12,Milwaukee County,21,42.88669,-87.90852
25,Big Picture School,192,WA,WASHINGTON,5303540,Highline School District,2976,='530354002976',No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,35,35,0,2,5,2,0,2,5,5,41,47,8,5,94,98,5,5,22,19,Yes,35,35,0,2,5,2,0,2,5,5,41,47,8,5,94,98,5,5,20,17,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='530354002976',Yes,5303540,Highline School District,2976,Big Picture School,Alternative Education School,4,3,Missing,7,12,King County,21,47.43692,-122.328051
5,Lake Havasu High School,376,AZ,ARIZONA,404280,Lake Havasu Unified School District #1,433,='040428000433',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,Yes,No,No,No,212,182,14,17,17,14,5,2,17,11,671,665,5,11,941,902,8,2,118,70,Yes,29,23,0,0,5,14,0,0,2,2,101,200,0,0,137,239,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='040428000433',Yes,404280,Lake Havasu Unified District,433,Lake Havasu High School,Regular School,1,3,No,9,12,Mohave County,13,34.494353,-114.317801
7,MAGGIE L. WALKER GOV. SCH.,328,VA,VIRGINIA,5100061,MAGGIE L. WALKER GOV SCH,2561,='510006102561',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,Yes,No,No,5,17,0,2,50,68,0,0,14,32,227,281,17,32,313,432,0,0,0,0,Yes,2,5,0,2,32,26,0,0,2,11,116,107,8,17,160,168,0,0,0,2,Yes,2,11,0,2,41,44,0,0,5,17,164,167,11,26,223,267,0,0,0,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='510006102561',No,5100061,MAGGIE L. WALKER GOV SCH,2561,MAGGIE L. WALKER GOV. SCH.,Regular School,1,N,No,N,N,Richmond city,12,37.557907,-77.453629
27,New Horizons High School,183,WA,WASHINGTON,5306570,Pasco School District,968,='530657000968',No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,128,110,0,0,0,0,2,0,5,5,14,5,2,2,151,122,41,32,10,7,Yes,80,80,0,0,0,0,2,0,5,2,8,2,2,2,97,86,17,23,5,8,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='530657000968',Yes,5306570,Pasco School District,968,New Horizons High School,Alternative Education School,4,4,Missing,6,12,Franklin County,22,46.251942,-119.128336
9,Stahl Junior High,298,WA,WASHINGTON,5306960,Puyallup School District,1178,='530696001178',No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,-9,No,No,No,No,62,68,5,5,32,23,14,14,32,26,212,242,53,68,410,446,71,83,46,40,Yes,20,23,2,5,8,8,5,5,14,8,80,74,23,23,152,146,20,32,11,14,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='530696001178',Yes,5306960,Puyallup School District,1178,Stahl Junior High,Regular School,1,2,Missing,5,9,Pierce County,21,47.102176,-122.299881
34,Valley Alternative Magnet,166,CA,CALIFORNIA,622710,Los Angeles Unified,3416,='062271003416',No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,Yes,No,No,122,110,0,0,35,44,0,2,14,11,143,128,2,8,316,303,44,32,34,19,Yes,29,14,0,0,14,14,0,0,0,5,38,50,2,0,83,83,0,5,14,5,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='062271003416',Yes,622710,Los Angeles Unified,3416,Valley Alternative Magnet,Alternative Education School,4,4,No,KG,12,Los Angeles County,11,34.192587,-118.501577
37,William & Marian Ghidotti High,162,CA,CALIFORNIA,626880,Nevada Joint Union High,11700,='062688011700',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,5,8,2,2,2,2,0,0,0,0,62,77,0,2,71,91,0,0,0,0,Yes,5,8,2,2,2,2,0,0,0,0,62,77,0,2,71,91,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='062688011700',No,626880,Nevada Joint Union High,11700,William & Marian Ghidotti High,Alternative Education School,4,3,No,9,12,Nevada County,32,39.235734,-121.053727
38,Academy of the Redwoods,161,CA,CALIFORNIA,614190,Fortuna Union High,10801,='061419010801',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,14,17,2,5,2,8,0,0,0,0,38,68,2,5,58,103,0,2,0,4,Yes,14,17,2,5,2,8,0,0,0,0,38,68,2,5,58,103,0,2,2,5,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='061419010801',Yes,614190,Fortuna Union High,10801,Academy of the Redwoods,Alternative Education School,4,3,No,9,12,Humboldt County,41,40.699362,-124.198938
44,Paris Cooperative High School,145,IL,ILLINOIS,1701397,Paris Cooperative High School,6061,='170139706061',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,2,5,2,0,0,0,0,0,0,0,272,290,5,5,281,300,0,0,0,4,Yes,0,0,0,0,0,0,0,0,0,0,74,71,0,0,74,71,0,0,0,0,Yes,2,2,0,0,0,0,0,0,0,0,26,23,0,0,28,25,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='170139706061',No,1701397,Paris Cooperative High School,6061,Paris Cooperative High School,Alternative Education School,4,3,No,9,12,Edgar County,32,39.6086,-87.695271
14,BROWNSVILLE EARLY COLLEGE H S,256,TX,TEXAS,4811680,BROWNSVILLE ISD,12172,='481168012172',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,158,260,0,0,2,2,0,0,0,0,2,5,0,0,162,267,0,5,0,0,Yes,104,146,0,0,0,2,0,0,0,0,2,2,0,0,106,150,0,0,0,0,Yes,107,104,0,0,2,0,0,0,0,0,2,2,0,0,111,106,0,5,0,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='481168012172',Yes,4811680,BROWNSVILLE ISD,12172,BROWNSVILLE EARLY COLLEGE H S,Regular School,1,3,Missing,9,12,Cameron County,12,25.91055,-97.506171
15,RIGBY HIGH SCHOOL,236,ID,IDAHO,1601570,JEFFERSON COUNTY JT DISTRICT,277,='160157000277',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,Yes,No,No,No,0,2,2,5,2,5,2,2,2,0,614,629,104,89,726,732,26,11,61,34,Yes,0,0,2,2,0,2,0,0,0,0,86,125,8,11,96,140,0,0,0,2,Yes,0,0,0,0,0,0,0,0,0,0,26,44,5,2,31,46,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='160157000277',Yes,1601570,JEFFERSON COUNTY JT DISTRICT,277,RIGBY HIGH SCHOOL,Regular School,1,3,No,9,12,Jefferson County,41,43.667174,-111.937438
17,Youth Connections Charter HS,231,IL,ILLINOIS,1709930,City of Chicago SD 299,3473,='170993003473',No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,-9,No,No,Yes,Yes,494,497,5,5,11,2,2,2,1382,1289,26,23,8,14,1928,1832,68,44,466,283,Yes,35,47,0,0,2,2,0,0,56,83,0,2,2,2,95,136,0,0,2,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='170993003473',Yes,1709930,City of Chicago SD 299,3473,Youth Connections Charter HS,Regular School,1,3,No,10,12,Cook County,11,41.831422,-87.62717
49,New Start,134,WA,WASHINGTON,5303540,Highline School District,2967,='530354002967',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,44,20,2,0,2,2,5,2,8,8,14,17,5,8,80,57,11,5,22,13,Yes,41,20,2,0,2,2,5,2,8,8,14,17,5,8,77,57,11,5,20,14,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='530354002967',Yes,5303540,Highline School District,2967,New Start,Alternative Education School,4,3,Missing,9,12,King County,21,47.49593,-122.34261
51,CHOICE Academy,133,WA,WASHINGTON,5303540,Highline School District,2640,='530354002640',No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,11,23,0,0,5,5,2,0,5,5,32,44,5,8,60,85,2,2,10,4,Yes,11,20,0,0,2,5,2,0,5,5,29,41,5,8,54,79,2,2,11,5,Yes,0,2,0,0,0,0,0,0,0,0,2,2,0,0,2,4,0,0,2,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='530354002640',Yes,5303540,Highline School District,2640,CHOICE Academy,Alternative Education School,4,3,Missing,7,12,King County,21,47.438,-122.325021
21,PITTSYLVANIA VOC.-TECH. CTR.,202,VA,VIRGINIA,5102940,PITTSYLVANIA CO PBLC SCHS,1856,='510294001856',No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,-9,No,No,No,No,5,2,0,0,0,0,0,0,26,29,119,68,0,0,150,99,2,2,22,10,Yes,5,0,0,0,0,0,0,0,23,17,119,38,0,0,147,55,2,0,2,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='510294001856',No,5102940,PITTSYLVANIA CO PBLC SCHS,1856,PITTSYLVANIA VOC.-TECH. CTR.,Vocational Education School,3,N,No,N,N,Pittsylvania County,42,36.764227,-79.389077
22,PINE VIEW SCHOOL,201,FL,FLORIDA,1201680,SARASOTA,1836,='120168001836',No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,Yes,No,No,No,107,101,2,2,110,158,0,0,5,8,716,833,68,68,1008,1170,2,0,43,16,Yes,11,8,0,0,8,14,0,0,0,2,71,74,8,5,98,103,0,0,0,0,Yes,32,29,0,2,26,50,0,0,2,2,209,266,17,23,286,372,0,0,2,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='120168001836',No,1201680,SARASOTA,1836,PINE VIEW SCHOOL,Special Education School,2,4,No,2,12,Sarasota County,21,27.18603,-82.479865
23,TCA COLLEGE PATHWAYS,201,CO,COLORADO,801920,Academy School District 20,6447,='080192006447',No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,26,20,2,0,2,11,0,2,0,11,239,224,17,17,286,285,0,0,4,0,Yes,5,5,0,0,2,2,0,0,0,2,89,80,5,11,101,100,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='080192006447',No,801920,Academy School District No. 20 in the county of El Paso an,6447,TCA COLLEGE PATHWAYS,Regular School,1,3,Yes,7,12,El Paso County,41,38.992687,-104.790967
24,Ballou Jr High,198,WA,WASHINGTON,5306960,Puyallup School District,1026,='530696001026',No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,-9,No,No,No,No,62,65,5,5,41,26,2,5,20,20,254,248,50,50,434,419,59,50,73,31,Yes,8,17,0,2,5,8,0,2,5,5,62,56,11,17,91,107,11,14,11,5,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='530696001026',Yes,5306960,Puyallup School District,1026,Ballou Jr High,Regular School,1,2,Missing,7,9,Pierce County,21,47.131904,-122.296737
56,Gateway to College at Laney College,123,CA,CALIFORNIA,628050,Oakland Unified,12506,='062805012506',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,20,26,0,2,8,8,2,0,32,14,2,5,2,2,66,57,8,11,0,0,Yes,20,26,0,2,8,8,2,0,32,14,2,5,2,2,66,57,8,11,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='062805012506',Yes,628050,Oakland Unified,12506,Gateway to College at Laney College,Alternative Education School,4,3,No,9,12,Alameda County,11,37.79614,-122.261331
